sales_id,date,dealer_id,model_id,units_sold,unit_price,gross_revenue,discount_pct,discount_amount,net_revenue,unit_cost,total_cost,profit,margin_pct
S00019,2024-01-01,D080,M05,5,29414.86,147074.3,0.0553,8133.21,138941.09,22168.89,110844.45,28096.64,0.2022
S00020,2024-01-01,D017,M03,8,34166.05,273328.4,0.1199,32772.08,240556.32,25035.39,200283.12,40273.2,0.1674
S00021,2024-01-01,D057,M07,5,69373.48,346867.4,0.0,0.0,346867.4,44690.49,223452.45,123414.95,0.3558
S00022,2024-01-01,D071,M03,4,34522.29,138089.16,0.0106,1463.75,136625.41,23689.72,94758.88,41866.53,0.3064
S00023,2024-01-01,D014,M06,5,49191.91,245959.55,0.0443,10896.01,235063.54,40425.31,202126.55,32936.99,0.1401
S00024,2024-01-01,D044,M02,22,25312.48,556874.56,0.0134,7462.12,549412.44,19520.35,429447.7,119964.74,0.2184
S00025,2024-01-01,D007,M01,6,20537.14,123222.84,0.0562,6925.12,116297.72,15808.69,94852.14,21445.58,0.1844
S00026,2024-01-01,D099,M02,10,23185.57,231855.7,0.1323,30674.51,201181.19,17058.03,170580.3,30600.89,0.1521
S00027,2024-01-01,D055,M05,4,27073.1,108292.4,0.0118,1277.85,107014.55,20406.68,81626.72,25387.83,0.2372
S00028,2024-01-01,D048,M05,2,31177.09,62354.18,0.0354,2207.34,60146.84,24052.79,48105.58,12041.26,0.2002
S00029,2024-01-01,D006,M03,4,29470.54,117882.16,0.1248,14711.69,103170.47,20481.19,81924.76,21245.71,0.2059
S00030,2024-01-01,D072,M07,1,61908.42,61908.42,0.0222,1374.37,60534.05,41457.15,41457.15,19076.9,0.3151
S00031,2024-01-01,D031,M07,2,57762.53,115525.06,0.0412,4759.63,110765.43,39509.05,79018.1,31747.33,0.2866
S00032,2024-01-01,D004,M02,19,23682.82,449973.58,0.1041,46842.25,403131.33,17523.66,332949.54,70181.79,0.1741
S00033,2024-01-01,D095,M07,1,59218.84,59218.84,0.0541,3203.74,56015.1,37469.88,37469.88,18545.22,0.3311
S00034,2024-01-01,D005,M07,4,63001.73,252006.92,0.0827,20840.97,231165.95,40066.95,160267.8,70898.15,0.3067
S00035,2024-01-01,D030,M02,16,20118.32,321893.12,0.0727,23401.63,298491.49,14718.32,235493.12,62998.37,0.2111
S00036,2024-01-01,D009,M07,4,59745.12,238980.48,0.0965,23061.62,215918.86,40108.01,160432.04,55486.82,0.257
S00037,2024-01-01,D069,M03,5,34574.66,172873.3,0.0071,1227.4,171645.9,23750.04,118750.2,52895.7,0.3082
S00038,2024-01-01,D034,M01,16,18433.61,294937.76,0.0409,12062.95,282874.81,13752.83,220045.28,62829.53,0.2221
S00039,2024-01-01,D066,M01,10,19540.78,195407.8,0.0387,7562.28,187845.52,14745.38,147453.8,40391.72,0.215
S00040,2024-01-01,D056,M01,12,21686.06,260232.72,0.1166,30343.14,229889.58,16663.37,199960.44,29929.14,0.1302
S00041,2024-01-01,D009,M06,1,53970.02,53970.02,0.0982,5299.86,48670.16,45866.55,45866.55,2803.61,0.0576
S00042,2024-01-01,D039,M05,8,29338.19,234705.52,0.0549,12885.33,221820.19,22602.72,180821.76,40998.43,0.1848
S00043,2024-01-01,D071,M02,12,20959.2,251510.4,0.0325,8174.09,243336.31,15926.81,191121.72,52214.59,0.2146
S00044,2024-01-01,D023,M05,2,28983.74,57967.48,0.0322,1866.55,56100.93,22326.28,44652.56,11448.37,0.2041
S00045,2024-01-01,D027,M04,8,42857.59,342860.72,0.0732,25097.4,317763.32,30703.16,245625.28,72138.04,0.227
S00046,2024-01-01,D057,M06,2,48360.37,96720.74,0.0058,560.98,96159.76,40518.97,81037.94,15121.82,0.1573
S00047,2024-01-01,D037,M05,3,32018.74,96056.22,0.0609,5849.82,90206.4,25005.45,75016.35,15190.05,0.1684
S00048,2024-01-01,D097,M02,6,23363.98,140183.88,0.0348,4878.4,135305.48,17136.98,102821.88,32483.6,0.2401
S00049,2024-01-01,D006,M02,7,24919.68,174437.76,0.1543,26915.75,147522.01,18856.13,131992.91,15529.1,0.1053
S00050,2024-01-01,D081,M05,9,24252.16,218269.44,0.016,3492.31,214777.13,19033.52,171301.68,43475.45,0.2024
S00051,2024-01-01,D019,M06,1,50939.09,50939.09,0.0614,3127.66,47811.43,44388.97,44388.97,3422.46,0.0716
S00052,2024-01-01,D029,M02,20,24020.55,480411.0,0.0224,10761.21,469649.79,18297.77,365955.4,103694.39,0.2208
S00053,2024-01-01,D032,M07,4,57063.1,228252.4,0.058,13238.64,215013.76,35987.82,143951.28,71062.48,0.3305
S00054,2024-01-01,D072,M05,7,27221.09,190547.63,0.0245,4668.42,185879.21,21443.75,150106.25,35772.96,0.1925
S00055,2024-01-01,D093,M05,5,27987.19,139935.95,0.0259,3624.34,136311.61,22259.41,111297.05,25014.56,0.1835
S00056,2024-01-01,D096,M07,1,63069.47,63069.47,0.0332,2093.91,60975.56,40410.84,40410.84,20564.72,0.3373
S00057,2024-01-01,D036,M07,2,73678.11,147356.22,0.0495,7294.13,140062.09,48536.76,97073.52,42988.57,0.3069
S00058,2024-01-01,D010,M06,3,45714.47,137143.41,0.0414,5677.74,131465.67,37565.28,112695.84,18769.83,0.1428
S00059,2024-01-01,D011,M02,9,20754.15,186787.35,0.0984,18379.88,168407.47,15419.96,138779.64,29627.83,0.1759
S00060,2024-01-01,D009,M04,9,39075.99,351683.91,0.1044,36715.8,314968.11,27843.86,250594.74,64373.37,0.2044
S00061,2024-01-01,D054,M04,15,47572.26,713583.9,0.021,14985.26,698598.64,34016.3,510244.5,188354.14,0.2696
S00062,2024-01-02,D049,M04,16,37863.68,605818.88,0.0973,58946.18,546872.7,26546.44,424743.04,122129.66,0.2233
S00063,2024-01-02,D054,M05,5,32651.22,163256.1,0.0444,7248.57,156007.53,25380.01,126900.05,29107.48,0.1866
S00064,2024-01-02,D035,M04,14,39856.42,557989.88,0.1475,82303.51,475686.37,28032.27,392451.78,83234.59,0.175
S00065,2024-01-02,D052,M06,2,47677.23,95354.46,0.0135,1287.29,94067.17,39924.49,79848.98,14218.19,0.1511
S00066,2024-01-02,D069,M01,4,21627.72,86510.88,0.004,346.04,86164.84,16340.04,65360.16,20804.68,0.2415
S00067,2024-01-02,D055,M02,14,26281.0,367934.0,0.0082,3017.06,364916.94,19208.88,268924.32,95992.62,0.2631
S00068,2024-01-02,D028,M04,9,38268.46,344416.14,0.0311,10711.34,333704.8,27770.42,249933.78,83771.02,0.251
S00069,2024-01-02,D054,M03,15,36551.93,548278.95,0.047,25769.11,522509.84,25886.75,388301.25,134208.59,0.2569
S00070,2024-01-02,D045,M02,26,25110.78,652880.28,0.0,0.0,652880.28,19256.8,500676.8,152203.48,0.2331
S00071,2024-01-02,D004,M02,9,20996.8,188971.2,0.0703,13284.68,175686.52,15143.37,136290.33,39396.19,0.2242
S00072,2024-01-02,D061,M06,3,43487.06,130461.18,0.0168,2191.75,128269.43,38086.86,114260.58,14008.85,0.1092
S00073,2024-01-02,D099,M03,7,29174.52,204221.64,0.1203,24567.86,179653.78,20901.64,146311.48,33342.3,0.1856
S00074,2024-01-02,D100,M07,3,57784.02,173352.06,0.0,0.0,173352.06,37263.94,111791.82,61560.24,0.3551
S00075,2024-01-02,D040,M05,8,32120.75,256966.0,0.0671,17242.42,239723.58,25629.42,205035.36,34688.22,0.1447
S00076,2024-01-02,D026,M01,13,20368.39,264789.07,0.1246,32992.72,231796.35,15680.29,203843.77,27952.58,0.1206
S00077,2024-01-02,D099,M03,2,33952.05,67904.1,0.1257,8535.55,59368.55,24310.51,48621.02,10747.53,0.181
S00078,2024-01-02,D073,M07,3,51242.32,153726.96,0.0201,3089.91,150637.05,33954.17,101862.51,48774.54,0.3238
S00079,2024-01-02,D083,M03,10,25841.48,258414.8,0.0042,1085.34,257329.46,18223.5,182235.0,75094.46,0.2918
S00080,2024-01-02,D047,M06,2,57877.71,115755.42,0.0211,2442.44,113312.98,48430.86,96861.72,16451.26,0.1452
S00081,2024-01-02,D094,M05,5,31758.32,158791.6,0.1242,19721.92,139069.68,24247.61,121238.05,17831.63,0.1282
S00082,2024-01-02,D060,M04,8,46717.93,373743.44,0.0626,23396.34,350347.1,33428.94,267431.52,82915.58,0.2367
S00083,2024-01-02,D012,M03,10,34171.42,341714.2,0.0785,26824.56,314889.64,23736.56,237365.6,77524.04,0.2462
S00084,2024-01-02,D086,M04,8,35294.85,282358.8,0.0927,26174.66,256184.14,25047.29,200378.32,55805.82,0.2178
S00085,2024-01-02,D028,M03,13,33584.83,436602.79,0.048,20956.93,415645.86,23523.5,305805.5,109840.36,0.2643
S00086,2024-01-02,D036,M05,3,27076.74,81230.22,0.0869,7058.91,74171.31,21591.08,64773.24,9398.07,0.1267
S00087,2024-01-02,D053,M04,10,43795.9,437959.0,0.0523,22905.26,415053.74,30412.72,304127.2,110926.54,0.2673
S00088,2024-01-02,D063,M04,4,42929.33,171717.32,0.0502,8620.21,163097.11,29431.63,117726.52,45370.59,0.2782
S00089,2024-01-02,D032,M03,12,32647.72,391772.64,0.0765,29970.61,361802.03,22923.31,275079.72,86722.31,0.2397
S00090,2024-01-02,D055,M06,4,53087.45,212349.8,0.0,0.0,212349.8,43964.1,175856.4,36493.4,0.1719
S00091,2024-01-02,D033,M02,8,20603.28,164826.24,0.1006,16581.52,148244.72,15072.43,120579.44,27665.28,0.1866
S00092,2024-01-02,D098,M06,2,44406.95,88813.9,0.0496,4405.17,84408.73,36294.28,72588.56,11820.17,0.14
S00093,2024-01-02,D076,M07,1,58805.32,58805.32,0.02,1176.11,57629.21,37790.64,37790.64,19838.57,0.3442
S00094,2024-01-02,D038,M02,23,23548.76,541621.48,0.0336,18198.48,523423.0,17382.19,399790.37,123632.63,0.2362
S00095,2024-01-02,D006,M01,9,20213.44,181920.96,0.1696,30853.79,151067.17,15399.51,138595.59,12471.58,0.0826
S00096,2024-01-02,D097,M04,4,36025.88,144103.52,0.0435,6268.5,137835.02,24524.11,98096.44,39738.58,0.2883
S00097,2024-01-02,D057,M03,10,31633.79,316337.9,0.0,0.0,316337.9,21608.49,216084.9,100253.0,0.3169
S00098,2024-01-02,D009,M04,14,39917.47,558844.58,0.1038,58008.07,500836.51,28525.87,399362.18,101474.33,0.2026
S00099,2024-01-02,D020,M07,2,64568.27,129136.54,0.0228,2944.31,126192.23,41601.78,83203.56,42988.67,0.3407
S00100,2024-01-02,D098,M04,3,41063.18,123189.54,0.1243,15312.46,107877.08,29871.18,89613.54,18263.54,0.1693
S00101,2024-01-02,D049,M04,13,47611.85,618954.05,0.1393,86220.3,532733.75,33225.51,431931.63,100802.12,0.1892
S00102,2024-01-02,D040,M05,3,31694.97,95084.91,0.0674,6408.72,88676.19,24737.34,74212.02,14464.17,0.1631
S00103,2024-01-02,D027,M06,2,44743.33,89486.66,0.0452,4044.8,85441.86,38158.64,76317.28,9124.58,0.1068
S00104,2024-01-02,D071,M01,18,18626.13,335270.34,0.0226,7577.11,327693.23,13867.36,249612.48,78080.75,0.2383
S00105,2024-01-02,D005,M02,20,21440.52,428810.4,0.122,52314.87,376495.53,15800.87,316017.4,60478.13,0.1606
S00106,2024-01-02,D030,M03,14,33514.8,469207.2,0.0902,42322.49,426884.71,24046.99,336657.86,90226.85,0.2114
S00107,2024-01-02,D026,M04,5,36147.76,180738.8,0.1636,29568.87,151169.93,25068.06,125340.3,25829.63,0.1709
S00108,2024-01-02,D019,M01,25,18238.55,455963.75,0.1009,46006.74,409957.01,13999.14,349978.5,59978.51,0.1463
S00109,2024-01-02,D073,M03,7,28588.15,200117.05,0.065,13007.61,187109.44,20243.89,141707.23,45402.21,0.2427
S00110,2024-01-02,D035,M05,2,28779.87,57559.74,0.1623,9341.95,48217.79,22214.83,44429.66,3788.13,0.0786
S00111,2024-01-02,D095,M03,3,32226.0,96678.0,0.1373,13273.89,83404.11,21963.69,65891.07,17513.04,0.21
S00112,2024-01-02,D074,M05,6,29123.06,174738.36,0.0588,10274.62,164463.74,23297.83,139786.98,24676.76,0.15
S00113,2024-01-02,D098,M07,2,57978.24,115956.48,0.0765,8870.67,107085.81,38353.6,76707.2,30378.61,0.2837
S00114,2024-01-02,D024,M05,3,28051.19,84153.57,0.0388,3265.16,80888.41,22180.42,66541.26,14347.15,0.1774
S00115,2024-01-02,D053,M03,5,32667.2,163336.0,0.0365,5961.76,157374.24,22418.72,112093.6,45280.64,0.2877
S00116,2024-01-02,D089,M04,16,34851.6,557625.6,0.022,12267.76,545357.84,25675.58,410809.28,134548.56,0.2467
S00117,2024-01-02,D059,M01,18,20798.71,374376.78,0.0779,29163.95,345212.83,15378.49,276812.82,68400.01,0.1981
S00118,2024-01-02,D001,M06,1,53301.78,53301.78,0.0759,4045.61,49256.17,44611.36,44611.36,4644.81,0.0943
S00119,2024-01-02,D047,M05,2,32718.71,65437.42,0.0302,1976.21,63461.21,25562.16,51124.32,12336.89,0.1944
S00120,2024-01-02,D071,M02,15,24638.36,369575.4,0.0058,2143.54,367431.86,18387.29,275809.35,91622.51,0.2494
S00121,2024-01-02,D081,M05,6,28147.58,168885.48,0.022,3715.48,165170.0,22109.62,132657.72,32512.28,0.1968
S00122,2024-01-02,D071,M04,3,35932.09,107796.27,0.0185,1994.23,105802.04,26573.05,79719.15,26082.89,0.2465
S00123,2024-01-02,D016,M06,3,52817.86,158453.58,0.0322,5102.21,153351.37,44360.14,133080.42,20270.95,0.1322
S00124,2024-01-02,D035,M04,6,43347.24,260083.44,0.132,34331.01,225752.43,32025.58,192153.48,33598.95,0.1488
S00125,2024-01-02,D019,M04,15,36906.1,553591.5,0.094,52037.6,501553.9,26423.39,396350.85,105203.05,0.2098
S00126,2024-01-02,D009,M03,8,33408.73,267269.84,0.1654,44206.43,223063.41,24430.63,195445.04,27618.37,0.1238
S00127,2024-01-02,D065,M03,5,33743.85,168719.25,0.0719,12130.91,156588.34,23518.46,117592.3,38996.04,0.249
S00128,2024-01-02,D075,M06,5,44496.1,222480.5,0.0325,7230.62,215249.88,36125.83,180629.15,34620.73,0.1608
S00129,2024-01-02,D043,M05,7,32767.32,229371.24,0.0635,14565.07,214806.17,25193.5,176354.5,38451.67,0.179
S00130,2024-01-02,D090,M02,19,21030.27,399575.13,0.0386,15423.6,384151.53,15436.51,293293.69,90857.84,0.2365
S00131,2024-01-02,D096,M04,5,42052.28,210261.4,0.0694,14592.14,195669.26,30642.85,153214.25,42455.01,0.217
S00132,2024-01-02,D084,M02,22,20678.51,454927.22,0.0463,21063.13,433864.09,14934.46,328558.12,105305.97,0.2427
S00133,2024-01-02,D043,M07,1,61242.69,61242.69,0.0238,1457.58,59785.11,42110.67,42110.67,17674.44,0.2956
S00134,2024-01-02,D059,M01,26,22560.96,586584.96,0.0842,49390.45,537194.51,16798.86,436770.36,100424.15,0.1869
S00135,2024-01-02,D010,M04,13,42815.25,556598.25,0.0477,26549.74,530048.51,29795.19,387337.47,142711.04,0.2692
S00136,2024-01-02,D084,M01,23,19694.5,452973.5,0.0182,8244.12,444729.38,15187.23,349306.29,95423.09,0.2146
S00137,2024-01-02,D041,M06,5,55450.79,277253.95,0.0091,2523.01,274730.94,47729.39,238646.95,36083.99,0.1313
S00138,2024-01-03,D031,M06,2,50897.19,101794.38,0.0379,3858.01,97936.37,41887.89,83775.78,14160.59,0.1446
S00139,2024-01-03,D056,M01,8,22724.8,181798.4,0.1233,22415.74,159382.66,17321.6,138572.8,20809.86,0.1306
S00140,2024-01-03,D089,M03,16,31578.05,505248.8,0.0022,1111.55,504137.25,21560.21,344963.36,159173.89,0.3157
S00141,2024-01-03,D046,M03,9,33495.99,301463.91,0.0483,14560.71,286903.2,23268.05,209412.45,77490.75,0.2701
S00142,2024-01-03,D024,M02,18,20875.35,375756.3,0.0497,18675.09,357081.21,15793.65,284285.7,72795.51,0.2039
S00143,2024-01-03,D031,M04,10,44128.29,441282.9,0.0455,20078.37,421204.53,30386.17,303861.7,117342.83,0.2786
S00144,2024-01-03,D059,M03,10,35281.32,352813.2,0.0651,22968.14,329845.06,25894.18,258941.8,70903.26,0.215
S00145,2024-01-03,D087,M05,7,24017.36,168121.52,0.0395,6640.8,161480.72,18543.48,129804.36,31676.36,0.1962
S00146,2024-01-03,D039,M06,4,58866.89,235467.56,0.0334,7864.62,227602.94,50344.44,201377.76,26225.18,0.1152
S00147,2024-01-03,D026,M04,9,43533.35,391800.15,0.14,54852.02,336948.13,29881.26,268931.34,68016.79,0.2019
S00148,2024-01-03,D074,M03,14,32152.94,450141.16,0.0498,22417.03,427724.13,22433.55,314069.7,113654.43,0.2657
S00149,2024-01-03,D002,M05,2,31055.47,62110.94,0.0955,5931.59,56179.35,24500.14,49000.28,7179.07,0.1278
S00150,2024-01-03,D096,M04,8,43328.39,346627.12,0.0599,20762.96,325864.16,31810.67,254485.36,71378.8,0.219
S00151,2024-01-03,D078,M07,5,56110.3,280551.5,0.0585,16412.26,264139.24,37646.05,188230.25,75908.99,0.2874
S00152,2024-01-03,D097,M06,1,51977.12,51977.12,0.0268,1392.99,50584.13,44412.81,44412.81,6171.32,0.122
S00153,2024-01-03,D081,M06,1,39111.49,39111.49,0.0139,543.65,38567.84,33756.69,33756.69,4811.15,0.1247
S00154,2024-01-03,D094,M02,9,20450.67,184056.03,0.1008,18552.85,165503.18,15086.59,135779.31,29723.87,0.1796
S00155,2024-01-03,D017,M07,5,64169.93,320849.65,0.0891,28587.7,292261.95,44772.59,223862.95,68399.0,0.234
S00156,2024-01-03,D035,M07,4,57797.26,231189.04,0.1086,25107.13,206081.91,40060.66,160242.64,45839.27,0.2224
S00157,2024-01-03,D038,M06,4,57580.37,230321.48,0.0369,8498.86,221822.62,49768.94,199075.76,22746.86,0.1025
S00158,2024-01-03,D019,M07,4,71430.5,285722.0,0.067,19143.37,266578.63,49202.13,196808.52,69770.11,0.2617
S00159,2024-01-03,D072,M03,5,28632.12,143160.6,0.0215,3077.95,140082.65,20147.69,100738.45,39344.2,0.2809
S00160,2024-01-03,D059,M03,13,35326.58,459245.54,0.0391,17956.5,441289.04,25447.16,330813.08,110475.96,0.2503
S00161,2024-01-03,D082,M03,3,26457.75,79373.25,0.1234,9794.66,69578.59,18362.45,55087.35,14491.24,0.2083
S00162,2024-01-03,D072,M03,3,34406.79,103220.37,0.0254,2621.8,100598.57,23853.61,71560.83,29037.74,0.2886
S00163,2024-01-03,D060,M06,2,49602.75,99205.5,0.0094,932.53,98272.97,41302.41,82604.82,15668.15,0.1594
S00164,2024-01-03,D005,M03,6,34971.49,209828.94,0.1621,34013.27,175815.67,24024.27,144145.62,31670.05,0.1801
S00165,2024-01-03,D018,M04,15,39536.44,593046.6,0.1488,88245.33,504801.27,28475.3,427129.5,77671.77,0.1539
S00166,2024-01-03,D070,M04,7,40873.4,286113.8,0.0627,17939.34,268174.46,29575.83,207030.81,61143.65,0.228
S00167,2024-01-03,D063,M05,1,27856.81,27856.81,0.0645,1796.76,26060.05,22217.93,22217.93,3842.12,0.1474
S00168,2024-01-03,D028,M04,8,39446.96,315575.68,0.024,7573.82,308001.86,27382.77,219062.16,88939.7,0.2888
S00169,2024-01-03,D088,M03,8,29266.36,234130.88,0.0024,561.91,233568.97,21618.2,172945.6,60623.37,0.2596
S00170,2024-01-03,D036,M02,20,26828.32,536566.4,0.0937,50276.27,486290.13,20844.01,416880.2,69409.93,0.1427
S00171,2024-01-03,D028,M06,1,50313.41,50313.41,0.0389,1957.19,48356.22,44159.45,44159.45,4196.77,0.0868
S00172,2024-01-03,D032,M02,23,23934.89,550502.47,0.0684,37654.37,512848.1,17527.82,403139.86,109708.24,0.2139
S00173,2024-01-03,D028,M07,2,69784.82,139569.64,0.0389,5429.26,134140.38,45100.87,90201.74,43938.64,0.3276
S00174,2024-01-03,D077,M01,9,17580.37,158223.33,0.0684,10822.48,147400.85,13695.84,123262.56,24138.29,0.1638
S00175,2024-01-03,D023,M01,5,20644.23,103221.15,0.0372,3839.83,99381.32,14895.78,74478.9,24902.42,0.2506
S00176,2024-01-03,D031,M05,2,27266.4,54532.8,0.0251,1368.77,53164.03,20687.35,41374.7,11789.33,0.2218
S00177,2024-01-03,D054,M05,9,27859.19,250732.71,0.0589,14768.16,235964.55,20982.93,188846.37,47118.18,0.1997
S00178,2024-01-03,D066,M05,1,25763.38,25763.38,0.0664,1710.69,24052.69,19971.56,19971.56,4081.13,0.1697
S00179,2024-01-03,D085,M05,2,24942.5,49885.0,0.033,1646.21,48238.79,19509.2,39018.4,9220.39,0.1911
S00180,2024-01-03,D062,M07,3,61827.49,185482.47,0.0394,7308.01,178174.46,41726.62,125179.86,52994.6,0.2974
S00181,2024-01-03,D057,M01,9,23324.83,209923.47,0.0,0.0,209923.47,17244.67,155202.03,54721.44,0.2607
S00182,2024-01-04,D080,M06,4,45640.96,182563.84,0.0478,8726.55,173837.29,39113.03,156452.12,17385.17,0.1
S00183,2024-01-04,D068,M03,3,31176.01,93528.03,0.0317,2964.84,90563.19,22332.17,66996.51,23566.68,0.2602
S00184,2024-01-04,D015,M07,5,66130.12,330650.6,0.0596,19706.78,310943.82,45644.1,228220.5,82723.32,0.266
S00185,2024-01-04,D028,M04,8,39515.55,316124.4,0.0531,16786.21,299338.19,27412.32,219298.56,80039.63,0.2674
S00186,2024-01-04,D052,M04,8,45679.82,365438.56,0.0166,6066.28,359372.28,31918.91,255351.28,104021.0,0.2895
S00187,2024-01-04,D048,M02,7,25308.83,177161.81,0.0759,13446.58,163715.23,18942.55,132597.85,31117.38,0.1901
S00188,2024-01-04,D012,M04,16,35965.64,575450.24,0.0565,32512.94,542937.3,26050.91,416814.56,126122.74,0.2323
S00189,2024-01-04,D008,M05,3,31696.37,95089.11,0.0705,6703.78,88385.33,24662.44,73987.32,14398.01,0.1629
S00190,2024-01-04,D086,M07,1,57214.73,57214.73,0.0887,5074.95,52139.78,39665.11,39665.11,12474.67,0.2393
S00191,2024-01-04,D077,M03,6,28024.6,168147.6,0.0377,6339.16,161808.44,20028.48,120170.88,41637.56,0.2573
S00192,2024-01-04,D062,M02,16,24236.37,387781.92,0.0581,22530.13,365251.79,17959.32,287349.12,77902.67,0.2133
S00193,2024-01-04,D098,M03,6,32018.7,192112.2,0.1382,26549.91,165562.29,23323.49,139940.94,25621.35,0.1548
S00194,2024-01-04,D080,M05,6,27346.85,164081.1,0.0314,5152.15,158928.95,21271.39,127628.34,31300.61,0.1969
S00195,2024-01-04,D035,M06,3,51911.32,155733.96,0.0683,10636.63,145097.33,45356.11,136068.33,9029.0,0.0622
S00196,2024-01-04,D019,M05,2,29601.41,59202.82,0.0546,3232.47,55970.35,22304.05,44608.1,11362.25,0.203
S00197,2024-01-04,D068,M02,7,21880.97,153166.79,0.0178,2726.37,150440.42,16349.87,114449.09,35991.33,0.2392
S00198,2024-01-04,D093,M03,2,33437.85,66875.7,0.0253,1691.96,65183.74,23876.48,47752.96,17430.78,0.2674
S00199,2024-01-04,D020,M02,7,23772.18,166405.26,0.0331,5508.01,160897.25,17186.95,120308.65,40588.6,0.2523
S00200,2024-01-04,D085,M04,7,36668.09,256676.63,0.0408,10472.41,246204.22,25906.84,181347.88,64856.34,0.2634
S00201,2024-01-04,D066,M01,17,19380.69,329471.73,0.0652,21481.56,307990.17,14083.04,239411.68,68578.49,0.2227
S00202,2024-01-04,D086,M03,13,26052.49,338682.37,0.0838,28381.58,310300.79,18333.55,238336.15,71964.64,0.2319
S00203,2024-01-04,D027,M03,16,34617.27,553876.32,0.0628,34783.43,519092.89,25133.56,402136.96,116955.93,0.2253
S00204,2024-01-04,D042,M01,10,19473.39,194733.9,0.0,0.0,194733.9,14893.65,148936.5,45797.4,0.2352
S00205,2024-01-04,D069,M06,2,44991.44,89982.88,0.0017,152.97,89829.91,38004.17,76008.34,13821.57,0.1539
S00206,2024-01-04,D095,M01,4,19744.88,78979.52,0.1584,12510.36,66469.16,14760.98,59043.92,7425.24,0.1117
S00207,2024-01-04,D074,M04,9,37475.28,337277.52,0.0445,15008.85,322268.67,27078.51,243706.59,78562.08,0.2438
S00208,2024-01-04,D052,M01,25,23613.98,590349.5,0.0121,7143.23,583206.27,17245.58,431139.5,152066.77,0.2607
S00209,2024-01-04,D089,M03,6,26327.56,157965.36,0.0174,2748.6,155216.76,19236.73,115420.38,39796.38,0.2564
S00210,2024-01-04,D052,M05,7,27594.57,193161.99,0.0,0.0,193161.99,21897.01,153279.07,39882.92,0.2065
S00211,2024-01-04,D100,M02,11,20381.9,224200.9,0.0145,3250.91,220949.99,15449.35,169942.85,51007.14,0.2309
S00212,2024-01-04,D100,M03,7,30457.7,213203.9,0.0226,4818.41,208385.49,22462.35,157236.45,51149.04,0.2455
S00213,2024-01-04,D031,M01,25,18585.78,464644.5,0.0273,12684.79,451959.71,13601.75,340043.75,111915.96,0.2476
S00214,2024-01-04,D098,M06,2,42979.59,85959.18,0.0575,4942.65,81016.53,37654.56,75309.12,5707.41,0.0704
S00215,2024-01-04,D073,M07,5,59662.88,298314.4,0.0373,11127.13,287187.27,40242.06,201210.3,85976.97,0.2994
S00216,2024-01-04,D080,M03,5,31325.75,156628.75,0.052,8144.69,148484.06,22480.39,112401.95,36082.11,0.243
S00217,2024-01-04,D061,M04,9,41313.85,371824.65,0.0022,818.01,371006.64,30067.38,270606.42,100400.22,0.2706
